Gene Symbol	Locus ID	Cytoband	AC-P02-Tumor-SM-63B4K	AC-P04-Tumor-SM-63B4O	AC-P04-Tumor-SM-63B4Q	AC-P05-Tumor-SM-63B4R	AC-P06-Tumor-SM-63B4T	AC-P07-Tumor-SM-63B4V	AC-P08-Tumor-SM-63B4X	AC-P09-Tumor-SM-63B4Z	AC-P09-Tumor-SM-63B52	AC-P10-Tumor-SM-63B53	AC-P10-Tumor-SM-63B55	AC-P11-Tumor-SM-63B56	AC-P12-Tumor-SM-63B58	AC-P12-Tumor-SM-63B59	AC-P14-Tumor-SM-63B5C	AC-P15-Tumor-SM-63B5D	AC-P15-Tumor-SM-63B5F
SP3	6670	2q31.1	-0.047	-0.030	-0.031	0.402	-0.006	0.009	-0.012	0.636	0.755	-0.033	-0.089	0.066	0.019	-0.012	-0.014	-0.052	-0.019
OLA1	29789	2q31.1	-0.047	-0.030	-0.031	0.251	-0.006	0.009	-0.012	0.636	0.755	-0.033	-0.089	0.066	0.019	-0.012	-0.014	-0.052	-0.019
CIR1	9541	2q31.1	-0.047	-0.030	-0.031	0.007	-0.006	0.009	-0.012	0.636	0.755	-0.033	-0.089	-0.037	0.019	-0.012	-0.014	-0.052	-0.019
LOC285084	285084	2q31.1	-0.047	-0.030	-0.031	0.007	-0.006	0.009	-0.012	0.636	0.755	-0.033	-0.089	0.066	0.019	-0.012	-0.014	-0.052	-0.019
SP9	100131390	2q31.1	-0.047	-0.030	-0.031	0.007	-0.006	0.009	-0.012	0.636	0.755	-0.033	-0.089	0.066	0.019	-0.012	-0.014	-0.052	-0.019
SCRN3	79634	2q31.1	-0.047	-0.030	-0.031	0.007	-0.006	0.009	-0.012	0.636	0.755	-0.033	-0.089	-0.150	0.019	-0.012	-0.014	-0.052	-0.019
GPR155	151556	2q31.1	-0.047	-0.030	-0.031	0.007	-0.006	0.009	-0.012	0.636	0.755	-0.033	-0.089	-0.150	0.019	-0.012	-0.014	-0.052	-0.019
WIPF1	7456	2q31.1	-0.047	-0.030	-0.031	0.007	-0.006	0.009	-0.012	0.636	0.662	-0.033	-0.089	-0.150	0.019	-0.012	-0.014	-0.052	-0.019
CHRNA1	1134	2q31.1	-0.047	-0.030	-0.031	0.007	-0.006	0.009	-0.012	0.636	0.616	-0.033	-0.089	-0.150	0.019	-0.012	-0.014	-0.052	-0.019
CHN1	1123	2q31.1	-0.047	-0.030	-0.031	0.007	-0.006	0.009	-0.012	0.636	0.616	-0.033	-0.089	-0.150	0.019	-0.012	-0.014	-0.052	-0.019
ATF2	1386	2q31.1	-0.047	-0.030	-0.031	0.007	-0.006	0.009	-0.012	0.636	0.616	-0.033	-0.089	-0.150	0.019	-0.012	-0.014	-0.052	-0.019
MIR933	100126350	2q31.1	-0.047	-0.030	-0.031	0.007	-0.006	0.009	-0.012	0.636	0.616	-0.033	-0.089	-0.150	0.019	-0.012	-0.014	-0.052	-0.019
hsa-mir-933	-1928	2q31.1	-0.047	-0.030	-0.031	0.007	-0.006	0.009	-0.012	0.636	0.616	-0.033	-0.089	-0.150	0.019	-0.012	-0.014	-0.052	-0.019
ATP5G3	518	2q31.1	-0.047	-0.030	-0.031	0.007	-0.006	0.009	-0.012	0.636	0.616	-0.033	-0.089	-0.054	0.019	-0.012	-0.014	-0.052	-0.019
KIAA1715	80856	2q31.1	-0.047	-0.030	-0.031	0.007	-0.006	0.009	-0.012	0.636	0.616	-0.033	-0.089	0.588	0.019	-0.012	-0.014	-0.052	-0.019
EVX2	344191	2q31.1	-0.047	-0.030	-0.031	0.007	-0.006	0.009	-0.012	0.636	0.616	-0.033	-0.089	0.619	0.019	-0.012	-0.014	-0.052	-0.019
HOXD13	3239	2q31.1	-0.047	-0.030	-0.031	0.007	-0.006	0.009	-0.012	0.636	0.616	-0.033	-0.089	0.619	0.019	-0.012	-0.014	-0.052	-0.019
HOXD12	3238	2q31.1	-0.047	-0.030	-0.031	0.007	-0.006	0.009	-0.012	0.636	0.616	-0.033	-0.089	0.619	0.019	-0.012	-0.014	-0.052	-0.019
HOXD11	3237	2q31.1	-0.047	-0.030	-0.031	0.007	-0.006	0.009	-0.012	0.636	0.616	-0.033	-0.089	0.527	0.019	-0.012	-0.014	-0.052	-0.019
HOXD10	3236	2q31.1	-0.047	-0.030	-0.031	0.007	-0.006	0.009	-0.012	0.636	0.616	-0.033	-0.089	0.254	0.019	-0.012	-0.014	-0.052	-0.019
HOXD9	3235	2q31.1	-0.047	-0.030	-0.031	0.007	-0.006	0.009	-0.012	0.636	0.616	0.004	-0.089	0.163	0.019	-0.012	-0.014	-0.052	-0.019
HOXD8	3234	2q31.1	-0.047	-0.030	-0.031	0.007	-0.006	0.009	-0.012	0.636	0.616	0.142	-0.089	0.163	0.019	-0.012	-0.014	-0.052	-0.019
LOC100506783	100506783	2q31.1	-0.047	-0.030	-0.031	0.007	-0.006	0.009	-0.012	0.636	0.616	0.185	-0.089	0.163	0.019	-0.012	-0.014	-0.052	-0.019
MIR10B	406903	2q31.1	-0.047	-0.030	-0.031	0.007	-0.006	0.009	-0.012	0.636	0.616	0.185	-0.089	0.163	0.019	-0.012	-0.014	-0.052	-0.019
hsa-mir-10b	-1935	2q31.1	-0.047	-0.030	-0.031	0.007	-0.006	0.009	-0.012	0.636	0.616	0.185	-0.089	0.163	0.019	-0.012	-0.014	-0.052	-0.019
HOXD4	3233	2q31.1	-0.047	-0.030	-0.031	0.007	-0.006	0.009	-0.012	0.636	0.616	0.185	-0.089	0.163	0.019	-0.012	-0.014	-0.052	-0.019
HOXD3	3232	2q31.1	-0.047	-0.030	-0.031	0.007	-0.006	0.009	-0.012	0.636	0.616	0.185	-0.089	0.163	0.019	-0.012	-0.014	-0.052	-0.019
HOXD1	3231	2q31.1	-0.047	-0.030	-0.031	0.007	-0.006	0.009	-0.012	0.636	0.616	0.185	-0.089	0.163	0.019	-0.012	-0.014	-0.052	-0.019
LOC401022	401022	2q31.1	-0.047	-0.030	-0.031	0.007	-0.006	0.009	-0.012	0.636	0.616	0.185	-0.089	0.163	0.019	-0.012	-0.014	-0.052	-0.019
MTX2	10651	2q31.1	-0.047	0.006	-0.031	0.007	-0.006	0.027	-0.012	0.636	0.616	0.185	-0.089	0.163	0.019	-0.012	-0.014	-0.052	-0.019
MIR1246	100302142	2q31.1	-0.047	0.379	-0.031	0.007	-0.006	0.275	-0.012	0.636	0.616	0.185	-0.089	0.163	0.019	-0.012	-0.014	-0.052	-0.019
hsa-mir-1246	-1938	2q31.1	-0.047	0.379	-0.031	0.007	-0.006	0.275	-0.012	0.636	0.616	0.185	-0.089	0.163	0.019	-0.012	-0.014	-0.052	-0.019
HNRNPA3	220988	2q31.2	-0.003	0.379	-0.031	0.007	-0.006	0.408	-0.012	0.636	0.616	0.185	-0.089	0.163	0.019	-0.012	-0.014	-0.052	-0.019
LOC375295	375295	2q31.1	-0.047	0.379	-0.031	0.007	-0.006	0.408	-0.012	0.636	0.616	0.185	-0.089	0.163	0.019	-0.012	-0.014	-0.052	-0.019
MIR4444-1|chr2	100616394	2q31.2	-0.047	0.379	-0.031	0.007	-0.006	0.408	-0.012	0.636	0.616	0.185	-0.089	0.163	0.019	-0.012	-0.014	-0.052	-0.019
NFE2L2	4780	2q31.2	0.092	0.379	-0.031	0.007	-0.006	0.191	-0.012	0.636	0.616	0.185	-0.089	0.163	0.019	-0.012	-0.014	-0.052	-0.019
MIR3128	100422824	2q31.2	0.092	0.379	-0.031	0.007	-0.006	0.011	-0.012	0.636	0.616	0.185	-0.089	0.163	0.019	-0.012	-0.014	-0.052	-0.019
hsa-mir-3128	-1943	2q31.2	0.092	0.379	-0.031	0.007	-0.006	0.011	-0.012	0.636	0.616	0.185	-0.089	0.163	0.019	-0.012	-0.014	-0.052	-0.019
AGPS	8540	2q31.2	0.092	-0.007	-0.031	0.007	-0.006	0.011	-0.012	0.636	0.616	-0.008	-0.089	-0.088	0.019	-0.012	-0.014	-0.052	-0.019
LOC100130691	100130691	2q31.2	0.092	0.379	-0.031	0.007	-0.006	0.011	-0.012	0.636	0.616	0.185	-0.089	0.163	0.019	-0.012	-0.014	-0.052	-0.019
TTC30B	150737	2q31.2	0.092	-0.071	-0.031	0.007	-0.006	0.011	-0.012	0.636	0.616	-0.190	-0.089	-0.188	0.019	-0.012	-0.014	-0.052	-0.019
TTC30A	92104	2q31.2	0.092	-0.071	-0.031	0.007	-0.006	0.011	-0.012	0.636	0.616	-0.190	-0.089	-0.188	0.019	-0.012	-0.014	-0.052	-0.019
PDE11A	50940	2q31.2	0.092	-0.071	0.112	-0.017	-0.006	0.011	-0.012	0.636	0.616	-0.190	0.049	-0.158	0.019	-0.012	-0.014	-0.052	0.261
RBM45	129831	2q31.2	0.092	-0.071	0.223	-0.142	-0.006	0.011	-0.012	0.636	0.616	-0.190	0.075	0.298	0.019	-0.012	-0.014	-0.052	0.312
OSBPL6	114880	2q31.2	0.092	-0.071	0.223	-0.142	-0.006	0.011	-0.012	0.631	0.616	0.095	0.075	0.093	0.019	-0.012	-0.014	0.231	0.312
MIR548N	100302152	2q31.2	0.092	-0.071	0.223	-0.142	-0.006	0.011	-0.012	0.439	0.489	-0.151	0.075	0.134	0.019	0.069	-0.046	0.216	0.274
PRKRA	8575	2q31.2	0.092	-0.071	0.223	-0.142	-0.006	0.011	-0.012	0.442	0.440	0.129	0.075	0.008	0.019	-0.012	-0.014	0.264	0.312
DFNB59	494513	2q31.2	0.092	-0.071	0.223	-0.142	-0.006	0.011	-0.012	0.429	0.415	0.129	0.075	0.274	0.019	-0.012	-0.014	0.264	0.312
FKBP7	51661	2q31.2	0.092	-0.071	0.223	-0.142	-0.006	0.011	-0.012	0.429	0.415	0.129	0.075	0.354	0.019	-0.012	-0.014	0.264	0.312
PLEKHA3	65977	2q31.2	0.092	-0.071	0.223	-0.142	-0.006	0.011	-0.012	0.429	0.495	0.109	0.075	0.354	0.019	-0.012	-0.014	0.264	0.312
LOC100506866	100506866	2q31.2	0.092	-0.071	0.223	-0.142	-0.006	0.011	-0.012	0.429	0.552	-0.202	0.075	0.127	0.019	0.047	-0.014	0.264	0.312
TTN	7273	2q31.2	0.092	-0.071	0.223	-0.142	-0.006	0.011	-0.012	0.429	0.467	-0.203	0.075	0.088	0.019	0.060	-0.062	0.205	0.302
CCDC141	285025	2q31.2	0.092	-0.071	0.223	-0.142	-0.006	0.011	-0.012	0.429	0.452	-0.204	0.075	0.038	0.019	0.029	-0.005	0.330	0.345
SESTD1	91404	2q31.2	0.092	-0.071	0.223	-0.142	-0.006	0.011	-0.012	0.429	0.452	-0.131	0.075	0.038	0.019	0.029	-0.005	0.330	0.345
ZNF385B	151126	2q31.2	0.092	-0.071	0.223	-0.142	-0.006	0.011	-0.012	0.429	0.452	-0.054	0.075	0.038	0.019	0.029	-0.005	0.330	0.345
MIR1258	100302172	2q31.3	0.092	-0.071	0.223	-0.142	-0.006	0.011	-0.012	0.429	0.452	-0.054	0.075	0.038	0.019	0.029	-0.005	0.330	0.345
hsa-mir-1258	-1963	2q31.3	0.092	-0.071	0.223	-0.142	-0.006	0.011	-0.012	0.429	0.452	-0.054	0.075	0.038	0.019	0.029	-0.005	0.330	0.345
CWC22	57703	2q31.3	0.092	-0.071	0.215	-0.142	-0.006	0.011	-0.012	0.429	0.452	0.191	0.075	0.038	0.019	0.029	-0.005	0.330	0.300
UBE2E3	10477	2q31.3	0.092	-0.071	0.057	-0.142	-0.006	0.011	-0.012	0.429	0.452	0.223	0.075	0.038	0.019	0.029	-0.005	0.330	0.197
ITGA4	3676	2q31.3	0.092	0.115	0.015	-0.142	-0.006	0.006	-0.012	0.469	0.504	0.223	0.075	0.128	0.019	0.106	-0.005	0.330	0.197
MIR4437	100616213	2q31.3	0.092	-0.071	0.015	-0.142	-0.006	0.011	-0.012	0.429	0.452	0.223	0.075	0.038	0.019	0.029	-0.005	0.330	0.197
CERKL	375298	2q31.3	0.092	0.381	0.015	-0.142	-0.006	-0.012	-0.012	0.579	0.663	0.137	0.075	0.355	0.019	0.153	-0.005	0.317	0.197
NEUROD1	4760	2q31.3	0.092	-0.138	0.015	-0.142	-0.006	-0.012	-0.012	0.579	0.663	-0.026	0.075	0.355	0.019	-0.015	-0.005	0.301	0.197
SSFA2	6744	2q31.3	0.092	0.008	0.015	-0.035	-0.006	-0.012	-0.012	0.579	0.663	-0.026	0.075	0.355	0.019	-0.015	-0.005	0.301	0.197
PPP1R1C	151242	2q31.3	0.092	0.075	0.015	-0.013	-0.006	-0.012	-0.012	0.579	0.580	-0.062	0.056	0.274	0.019	-0.015	-0.005	0.257	0.197
PDE1A	5136	2q32.1	0.092	-0.175	0.015	-0.013	-0.006	-0.012	-0.012	0.579	0.375	-0.276	-0.054	-0.196	0.019	-0.015	-0.005	-0.002	0.197
DNAJC10	54431	2q32.1	0.092	-0.136	0.015	-0.013	-0.006	-0.012	-0.012	0.579	0.375	-0.284	-0.058	-0.214	0.019	-0.015	-0.005	-0.012	0.197
FRZB	2487	2q32.1	0.092	0.118	0.101	-0.013	-0.006	-0.012	-0.012	0.579	0.434	-0.107	-0.058	-0.176	0.019	-0.015	-0.005	0.009	0.197
NCKAP1	10787	2q32.1	0.092	0.118	0.229	-0.013	-0.006	-0.012	-0.012	0.579	0.864	-0.030	-0.058	0.165	0.019	-0.015	-0.005	0.195	0.197
DUSP19	142679	2q32.1	0.092	0.118	0.229	-0.013	-0.006	-0.012	-0.012	0.579	0.637	-0.030	-0.058	0.171	0.019	-0.015	-0.005	0.198	0.197
NUP35	129401	2q32.1	0.092	0.118	0.229	-0.013	-0.006	-0.012	-0.012	0.579	0.637	-0.030	-0.058	0.171	0.019	-0.015	-0.005	0.198	0.197
ZNF804A	91752	2q32.1	0.092	0.118	0.160	-0.013	-0.006	-0.012	-0.012	0.579	0.637	-0.030	-0.058	0.171	-0.025	-0.061	-0.005	0.198	0.197
FSIP2	401024	2q32.1	0.092	0.118	-0.047	-0.013	-0.006	-0.012	-0.012	0.579	0.637	-0.030	-0.058	0.171	-0.157	-0.200	-0.005	0.198	0.197
ZC3H15	55854	2q32.1	0.092	0.118	-0.295	-0.013	-0.006	-0.012	-0.012	0.579	0.637	0.182	-0.058	0.171	-0.314	-0.366	-0.005	0.198	0.197
ITGAV	3685	2q32.1	0.092	0.079	-0.324	-0.013	-0.006	-0.012	-0.012	0.579	0.637	0.321	-0.058	0.171	-0.332	-0.386	-0.005	0.570	0.197
FAM171B	165215	2q32.1	0.092	-0.176	-0.324	-0.013	-0.006	-0.012	-0.012	0.579	0.637	-0.011	-0.058	0.171	-0.332	-0.386	-0.005	0.130	0.197
ZSWIM2	151112	2q32.1	0.092	-0.176	-0.324	-0.013	-0.006	-0.012	-0.012	0.579	0.637	-0.077	-0.058	0.256	-0.332	-0.386	-0.005	0.130	0.197
CALCRL	10203	2q32.1	0.092	-0.176	-0.324	-0.013	-0.006	-0.012	-0.012	0.579	0.876	-0.291	-0.058	1.489	-0.332	-0.386	-0.005	0.130	0.174
TFPI	7035	2q32.1	0.092	-0.176	-0.324	-0.013	-0.006	-0.012	-0.012	0.579	0.332	-0.064	-0.058	0.258	-0.332	-0.386	-0.005	0.130	-0.269
GULP1	51454	2q32.1	0.092	0.373	-0.324	-0.013	-0.006	-0.012	-0.012	0.579	0.229	0.078	-0.058	0.144	-0.332	-0.386	-0.005	0.130	-0.308
MIR561	693146	2q32.1	0.092	-0.176	-0.324	-0.013	-0.006	-0.012	-0.012	0.579	0.229	0.078	-0.058	0.144	-0.332	-0.386	-0.005	0.130	-0.308
hsa-mir-561	-2028	2q32.1	0.092	-0.176	-0.324	-0.013	-0.006	-0.012	-0.012	0.579	0.229	0.078	-0.058	0.144	-0.332	-0.386	-0.005	0.130	-0.308
DIRC1	116093	2q32.2	0.092	0.545	-0.324	-0.013	-0.006	-0.012	-0.012	0.579	0.229	0.078	-0.058	0.144	-0.332	-0.386	-0.005	0.130	-0.308
COL3A1	1281	2q32.2	0.092	0.885	-0.324	-0.013	-0.006	-0.012	-0.012	0.579	0.351	0.718	-0.058	0.144	-0.332	-0.386	-0.005	1.001	-0.308
MIR1245A	100302219	2q32.2	0.092	0.545	-0.324	-0.013	-0.006	-0.012	-0.012	0.579	0.229	0.078	-0.058	0.144	-0.332	-0.386	-0.005	0.130	-0.308
MIR1245B	100616324	2q32.2	0.092	0.545	-0.324	-0.013	-0.006	-0.012	-0.012	0.579	0.229	0.078	-0.058	0.144	-0.332	-0.386	-0.005	0.130	-0.308
hsa-mir-1245	-2033	2q32.2	0.092	0.545	-0.324	-0.013	-0.006	-0.012	-0.012	0.579	0.229	0.078	-0.058	0.144	-0.332	-0.386	-0.005	0.130	-0.308
MIR3606	100500837	2q32.2	0.092	1.020	-0.324	-0.013	-0.006	-0.012	-0.012	0.579	0.229	0.806	-0.058	0.144	-0.332	-0.386	-0.005	1.097	-0.308
COL5A2	1290	2q32.2	0.092	0.443	-0.324	-0.013	-0.006	-0.012	-0.012	0.579	0.516	0.277	-0.058	0.144	-0.332	-0.386	-0.005	0.502	-0.308
MIR3129	100422908	2q32.2	0.092	0.267	-0.324	-0.013	-0.006	-0.012	-0.012	0.579	0.516	-0.101	-0.058	0.144	-0.332	-0.386	-0.005	-0.026	-0.308
WDR75	84128	2q32.2	0.092	-0.148	-0.324	-0.013	-0.006	-0.012	-0.012	0.579	0.516	-0.101	0.170	0.144	-0.332	-0.386	-0.005	-0.468	-0.308
hsa-mir-3129	-2034	2q32.2	0.092	0.267	-0.324	-0.013	-0.006	-0.012	-0.012	0.579	0.516	-0.101	-0.058	0.144	-0.332	-0.386	-0.005	-0.026	-0.308
SLC40A1	30061	2q32.2	0.092	-0.171	-0.324	-0.013	-0.006	-0.012	-0.012	0.579	0.516	-0.101	0.437	0.144	-0.332	-0.386	-0.005	-0.439	-0.253
ASNSD1	54529	2q32.2	0.092	-0.171	-0.324	-0.013	-0.006	-0.012	-0.012	0.579	0.516	-0.101	0.370	0.144	-0.332	-0.386	-0.005	0.326	0.544
ANKAR	150709	2q32.2	0.092	-0.171	-0.324	-0.013	-0.006	-0.012	-0.012	0.579	0.516	-0.101	-0.019	0.144	-0.332	-0.386	-0.005	0.462	0.687
OSGEPL1	64172	2q32.2	0.092	-0.171	-0.324	-0.013	-0.006	-0.012	-0.012	0.579	0.516	-0.101	-0.029	0.144	-0.332	-0.386	-0.005	0.462	0.687
ORMDL1	94101	2q32.2	0.092	-0.171	-0.324	-0.013	-0.006	-0.012	-0.012	0.579	0.516	-0.101	-0.029	0.144	-0.332	-0.386	-0.005	0.758	0.687
PMS1	5378	2q32.2	0.092	-0.171	-0.324	-0.013	-0.006	-0.012	-0.012	0.579	0.615	-0.101	-0.029	0.144	-0.332	-0.386	-0.005	0.844	0.687
MSTN	2660	2q32.2	0.092	-0.171	-0.324	-0.013	-0.006	-0.012	-0.012	0.579	0.699	-0.101	-0.029	0.144	-0.332	-0.386	-0.005	0.437	0.687
C2orf88	84281	2q32.2	0.092	-0.171	-0.324	-0.013	-0.006	-0.012	-0.012	0.579	0.699	-0.101	-0.029	0.144	-0.332	-0.386	-0.005	0.437	0.687
HIBCH	26275	2q32.2	0.092	-0.135	-0.324	-0.013	-0.006	-0.012	-0.012	0.579	0.699	-0.101	-0.029	0.144	-0.332	-0.386	-0.005	0.437	0.687
INPP1	3628	2q32.2	0.092	0.087	-0.324	-0.013	-0.006	-0.012	-0.012	0.579	0.699	-0.101	-0.029	0.144	-0.332	-0.386	-0.005	0.437	0.687
MFSD6	54842	2q32.2	0.092	0.087	-0.324	-0.013	-0.006	-0.012	-0.012	0.579	0.699	-0.101	-0.029	0.144	-0.332	-0.386	-0.005	0.470	0.687
NAB1	4664	2q32.2	0.092	0.087	-0.324	-0.013	-0.006	-0.012	-0.012	0.579	0.699	-0.101	-0.029	0.144	-0.332	-0.386	-0.005	0.844	0.687
TMEM194B	100131211	2q32.2	0.092	0.087	-0.324	-0.013	-0.006	-0.012	-0.012	0.579	0.699	-0.101	-0.029	0.144	-0.332	-0.386	-0.005	0.666	0.687
GLS	2744	2q32.2	0.092	0.299	-0.324	-0.013	-0.006	-0.012	-0.012	0.579	0.699	0.188	-0.029	0.144	-0.332	-0.386	-0.005	1.005	0.687
STAT1	6772	2q32.2	0.092	0.355	-0.324	-0.013	-0.006	-0.012	-0.012	0.579	0.699	0.263	-0.029	0.186	-0.332	-0.386	-0.005	1.354	0.687
STAT4	6775	2q32.2	0.092	0.355	-0.324	-0.013	-0.006	-0.012	-0.012	0.579	0.699	0.263	-0.010	0.466	-0.332	-0.386	-0.005	0.875	0.661
MYO1B	4430	2q32.3	0.092	0.355	-0.324	-0.013	-0.006	-0.012	-0.012	0.579	0.699	0.378	0.353	0.229	-0.332	-0.386	-0.005	0.212	-0.328
OBFC2A	64859	2q32.3	0.092	0.179	-0.324	-0.013	-0.006	-0.012	-0.012	0.579	0.699	0.223	0.353	0.229	-0.332	-0.386	-0.005	-0.065	-0.346
SDPR	8436	2q32.3	0.092	-0.040	-0.324	-0.013	-0.006	-0.012	-0.012	0.579	0.699	-0.069	0.353	0.229	-0.332	-0.386	-0.005	-0.395	-0.346
TMEFF2	23671	2q32.3	0.065	-0.040	-0.324	-0.013	-0.006	-0.012	-0.012	0.345	0.640	-0.136	0.179	0.229	-0.309	-0.358	-0.005	-0.338	-0.283
PCGEM1	64002	2q32.3	0.025	-0.040	-0.324	-0.013	-0.006	-0.012	-0.012	-0.124	0.257	-0.322	-0.168	0.229	-0.158	-0.182	-0.005	0.032	0.129
SLC39A10	57181	2q32.3	0.025	-0.040	-0.324	-0.013	-0.006	-0.012	-0.012	-0.124	-0.138	-0.322	-0.168	0.229	-0.003	0.001	-0.005	0.414	0.554
DNAH7	56171	2q32.3	0.025	-0.040	-0.324	-0.013	-0.006	-0.012	-0.012	-0.124	-0.180	-0.316	-0.319	0.229	0.016	0.023	-0.005	0.459	0.604
STK17B	9262	2q32.3	0.025	-0.040	-0.324	-0.013	-0.006	-0.012	-0.012	-0.124	0.246	0.292	-0.352	0.559	0.016	0.023	-0.005	0.110	0.192
HECW2	57520	2q32.3	0.025	-0.040	-0.324	-0.013	-0.006	-0.012	-0.012	-0.084	0.093	0.379	-0.222	1.489	0.016	0.023	-0.005	-0.068	-0.184
CCDC150	284992	2q33.1	0.025	-0.040	-0.324	-0.013	-0.006	-0.012	-0.012	-0.072	-0.049	-0.017	0.326	2.452	0.016	0.023	-0.005	0.668	0.661
LOC100130452	100130452	2q33.1	0.025	-0.040	-0.324	-0.013	-0.006	-0.012	-0.012	-0.072	-0.049	-0.067	0.633	2.452	0.016	0.023	-0.005	0.668	0.661
GTF3C3	9330	2q33.1	0.025	-0.040	-0.324	-0.013	-0.006	-0.012	-0.012	-0.072	-0.049	-0.067	-0.144	2.452	0.016	0.023	-0.005	0.668	0.661
C2orf66	401027	2q33.1	0.025	-0.040	-0.324	-0.013	-0.006	-0.012	-0.012	-0.072	-0.049	-0.067	-0.144	2.452	0.016	0.023	-0.005	0.668	0.661
PGAP1	80055	2q33.1	0.025	-0.040	-0.324	-0.013	-0.006	-0.012	-0.012	-0.072	-0.049	-0.067	-0.144	1.964	0.016	0.023	-0.005	0.668	0.661
ANKRD44	91526	2q33.1	0.025	-0.040	-0.324	-0.013	-0.006	-0.012	-0.012	-0.072	-0.049	-0.067	-0.144	1.915	0.016	0.023	-0.005	0.210	0.661
SF3B1	23451	2q33.1	0.025	-0.040	-0.324	-0.013	-0.006	-0.012	-0.012	-0.072	-0.049	-0.067	-0.144	1.915	0.016	0.023	-0.005	0.723	0.661
COQ10B	80219	2q33.1	0.025	-0.040	-0.324	-0.013	-0.006	-0.012	-0.012	-0.072	-0.049	-0.067	-0.144	1.915	0.016	0.023	-0.005	0.734	0.661
HSPD1	3329	2q33.1	0.025	-0.040	-0.324	-0.013	-0.006	-0.012	-0.012	-0.072	-0.049	-0.067	-0.144	2.679	0.016	0.023	-0.005	0.734	0.661
HSPE1-MOB4	100529241	2q33.1	0.025	-0.040	-0.324	-0.013	-0.006	-0.012	-0.012	-0.072	-0.049	-0.067	-0.144	2.459	0.016	0.023	-0.005	0.066	0.062
HSPE1	3336	2q33.1	0.025	-0.040	-0.324	-0.013	-0.006	-0.012	-0.012	-0.072	-0.049	-0.067	-0.144	2.793	0.016	0.023	-0.005	0.598	0.538
MOB4	25843	2q33.1	0.025	-0.040	-0.324	-0.013	-0.006	-0.012	-0.012	-0.072	-0.049	-0.067	-0.144	2.292	0.016	0.023	-0.005	-0.268	-0.238
RFTN2	130132	2q33.1	0.025	-0.040	-0.324	-0.013	-0.006	-0.012	-0.012	-0.072	-0.049	-0.067	-0.144	1.290	0.016	0.023	-0.005	-0.359	-0.319
MARS2	92935	2q33.1	0.025	-0.040	-0.324	-0.013	-0.006	-0.012	-0.012	-0.072	-0.049	-0.067	-0.144	1.290	0.016	0.023	-0.005	-0.359	-0.319
BOLL	66037	2q33.1	0.025	-0.040	-0.324	-0.013	-0.006	-0.012	-0.012	-0.072	-0.049	-0.067	-0.144	1.290	0.016	0.023	-0.005	-0.359	-0.319
PLCL1	5334	2q33.1	0.025	-0.040	-0.324	-0.013	-0.006	-0.012	-0.012	-0.072	-0.049	-0.067	-0.048	1.290	0.016	0.023	-0.005	-0.359	-0.319
SATB2	23314	2q33.1	0.025	-0.040	-0.324	-0.013	-0.006	-0.012	-0.012	-0.072	-0.049	-0.067	0.063	1.290	0.016	0.023	-0.005	-0.359	-0.319
C2orf69	205327	2q33.1	0.025	-0.040	-0.324	-0.013	-0.006	-0.012	-0.012	-0.072	-0.049	-0.067	0.063	1.290	0.016	0.023	-0.005	-0.359	-0.319
FLJ32063	150538	2q33.1	0.025	-0.040	-0.324	-0.013	-0.006	-0.012	-0.012	-0.072	-0.049	-0.067	0.063	1.290	0.016	0.023	-0.005	-0.359	-0.319
FONG	348751	2q33.1	0.025	-0.040	-0.324	-0.013	-0.006	-0.012	-0.012	-0.072	-0.049	-0.067	0.063	1.290	0.016	0.023	-0.005	-0.359	-0.319
TYW5	129450	2q33.1	0.025	-0.040	-0.324	-0.013	-0.006	-0.012	-0.012	-0.072	-0.049	-0.067	0.063	1.290	0.016	0.023	-0.005	-0.359	-0.319
C2orf47	79568	2q33.1	0.025	-0.040	-0.324	-0.013	-0.006	-0.012	-0.012	-0.072	-0.049	-0.067	0.063	1.290	0.016	0.023	-0.005	-0.359	-0.319
SPATS2L	26010	2q33.1	0.025	-0.040	-0.324	-0.013	-0.006	-0.012	-0.012	-0.072	-0.049	-0.067	0.063	0.681	0.016	0.023	-0.005	-0.359	-0.319
KCTD18	130535	2q33.1	0.025	-0.040	-0.324	-0.013	-0.006	-0.012	-0.012	-0.072	-0.049	-0.067	0.063	0.290	0.016	0.023	-0.005	-0.359	-0.319
SGOL2	151246	2q33.1	0.025	-0.040	-0.324	-0.013	-0.006	-0.012	-0.012	-0.072	-0.049	-0.067	0.178	0.290	0.016	0.023	-0.005	-0.359	-0.319
AOX1	316	2q33.1	0.025	-0.040	-0.324	-0.013	-0.006	-0.012	-0.012	-0.072	-0.049	0.074	1.024	0.290	0.016	0.023	-0.005	-0.046	-0.319
AOX2P	344454	2q33.1	0.025	-0.040	-0.324	-0.013	-0.006	-0.012	-0.012	-0.072	-0.049	-0.003	0.593	0.290	0.016	0.023	-0.005	-0.173	-0.319
BZW1	9689	2q33.1	0.025	-0.040	-0.324	-0.013	-0.006	-0.012	-0.012	-0.072	-0.049	-0.003	0.191	0.290	0.016	0.023	-0.005	-0.173	-0.319
LOC100507140	100507140	2q33.1	0.025	-0.040	-0.324	-0.013	-0.006	-0.012	-0.012	-0.072	-0.049	-0.003	0.593	0.290	0.016	0.023	-0.005	-0.173	-0.319
