rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
1716	MAP4	microtubule-associated protein 4	4896	10	0	1	1	0	0	0	1	1	1	6.468984e-01	NaN	NaN	6.468984e-01	1
1717	DOCK11	dedicator of cytokinesis 11	6432	27	0	0	1	0	0	0	1	1	1	6.488785e-01	NaN	NaN	6.488785e-01	1
1718	RIMS2	regulating synaptic membrane exocytosis 2	4336	7	0	0	2	0	0	0	2	2	2	2.905577e-01	1	4.140000e-01	6.496734e-01	1
1719	CHD1	chromodomain helicase DNA binding protein 1	5269	1	0	0	1	0	0	0	1	1	1	6.512789e-01	NaN	NaN	6.512789e-01	1
1720	KIAA1109	KIAA1109	15352	2	0	0	1	0	0	0	1	1	1	6.539747e-01	NaN	NaN	6.539747e-01	1
1721	BAI1	brain-specific angiogenesis inhibitor 1	4871	52	0	1	1	0	0	0	1	1	1	6.567550e-01	NaN	NaN	6.567550e-01	1
1722	VPS13B	vacuolar protein sorting 13 homolog B (yeast)	12503	16	0	1	1	0	0	0	1	1	1	6.585355e-01	NaN	NaN	6.585355e-01	1
1723	SEC31B	SEC31 homolog B (S. cerevisiae)	3640	14	0	0	1	0	0	0	1	1	1	6.604513e-01	NaN	NaN	6.604513e-01	1
1724	NEURL4	neuralized homolog 4 (Drosophila)	4803	252	0	1	2	0	0	0	2	1	2	2.993957e-01	1	3.130000e-01	6.604637e-01	1
1725	MLH3	mutL homolog 3 (E. coli)	4624	0	0	0	1	0	0	0	1	1	1	6.611195e-01	NaN	NaN	6.611195e-01	1
1726	MYCBP2	MYC binding protein 2	14365	1	0	0	1	0	0	0	1	1	1	6.613329e-01	NaN	NaN	6.613329e-01	1
1727	ATRX	alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)	7615	2	0	0	2	0	0	0	2	2	2	3.001950e-01	1	7.900000e-01	6.614265e-01	1
1728	PIK3CA	phosphoinositide-3-kinase, catalytic, alpha polypeptide	3287	2	0	0	3	0	0	0	3	3	3	3.015698e-01	1	1.490000e-01	6.630777e-01	1
1729	IL6ST	interleukin 6 signal transducer (gp130, oncostatin M receptor)	2817	1	0	0	1	0	0	0	1	1	1	6.682449e-01	NaN	NaN	6.682449e-01	1
1730	MPHOSPH9	M-phase phosphoprotein 9	3172	0	0	0	1	0	0	0	1	1	1	6.742909e-01	NaN	NaN	6.742909e-01	1
1731	PCDHA6	protocadherin alpha 6	23303	19	0	1	2	0	0	0	2	2	2	9.198761e-01	1	2.130000e-01	6.773523e-01	1
1732	C1orf173	chromosome 1 open reading frame 173	4649	1	0	0	1	0	0	0	1	1	1	6.797315e-01	NaN	NaN	6.797315e-01	1
1733	CSMD3	CUB and Sushi multiple domains 3	11468	14	0	0	2	0	0	0	2	2	2	3.173239e-01	1	4.230000e-01	6.815586e-01	1
1734	LRRC8C	leucine rich repeat containing 8 family, member C	2420	0	0	0	1	0	0	0	1	1	1	6.828214e-01	NaN	NaN	6.828214e-01	1
1735	PIGO	phosphatidylinositol glycan anchor biosynthesis, class O	3309	6	0	0	1	0	0	0	1	1	1	6.852898e-01	NaN	NaN	6.852898e-01	1
1736	PHIP	pleckstrin homology domain interacting protein	5622	2	0	0	1	0	0	0	1	1	1	6.864551e-01	NaN	NaN	6.864551e-01	1
1737	BRCA2	breast cancer 2, early onset	10361	1	0	0	1	0	0	0	1	1	1	6.886753e-01	NaN	NaN	6.886753e-01	1
1738	KDM3B	lysine (K)-specific demethylase 3B	5378	15	0	0	1	0	0	0	1	1	1	6.904885e-01	NaN	NaN	6.904885e-01	1
1739	ELMO2	engulfment and cell motility 2	2247	14	0	0	1	0	0	0	1	1	1	6.940206e-01	NaN	NaN	6.940206e-01	1
1740	PRDM16	PR domain containing 16	3897	0	0	1	1	0	0	0	1	1	1	6.947236e-01	NaN	NaN	6.947236e-01	1
1741	DNAH3	dynein, axonemal, heavy chain 3	12638	3	0	0	1	0	0	0	1	1	1	6.948122e-01	NaN	NaN	6.948122e-01	1
1742	NCKAP5L	NCK-associated protein 5-like	4049	33	0	0	1	0	0	0	1	1	1	6.996753e-01	NaN	NaN	6.996753e-01	1
1743	HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1	4933	17	0	1	1	0	0	0	1	1	1	7.008632e-01	NaN	NaN	7.008632e-01	1
1744	DMXL2	Dmx-like 2	9282	0	0	0	1	0	0	0	1	1	1	7.043229e-01	NaN	NaN	7.043229e-01	1
1745	SYT9	synaptotagmin IX	1500	1	0	1	1	0	0	0	1	1	1	7.065168e-01	NaN	NaN	7.065168e-01	1
1746	MYH10	myosin, heavy chain 10, non-muscle	6091	20	0	0	2	0	0	0	2	2	2	3.415405e-01	1	2.590000e-01	7.084537e-01	1
1747	ZIC3	Zic family member 3 heterotaxy 1 (odd-paired homolog, Drosophila)	1412	14	0	1	1	0	0	0	1	1	1	7.098812e-01	NaN	NaN	7.098812e-01	1
1748	ALMS1	Alstrom syndrome 1	12592	1	0	0	2	0	0	0	2	1	2	1	1	3.450000e-01	7.121527e-01	1
1749	PCDHA9	protocadherin alpha 9	16329	7	0	0	0	1	0	0	1	1	1	7.153071e-01	NaN	NaN	7.153071e-01	1
1750	DYNC1H1	dynein, cytoplasmic 1, heavy chain 1	14249	0	0	0	1	0	0	0	1	1	1	7.203567e-01	NaN	NaN	7.203567e-01	1
1751	HERC2	hect domain and RLD 2	14873	8	0	1	1	0	0	0	1	1	1	7.207595e-01	NaN	NaN	7.207595e-01	1
1752	STRN4	striatin, calmodulin binding protein 4	2358	2	0	1	1	0	0	0	1	1	1	7.225229e-01	NaN	NaN	7.225229e-01	1
1753	ATP7A	ATPase, Cu++ transporting, alpha polypeptide (Menkes syndrome)	5353	36	0	0	1	0	0	0	1	1	1	7.239067e-01	NaN	NaN	7.239067e-01	1
1754	PKHD1	polycystic kidney and hepatic disease 1 (autosomal recessive)	12526	2	0	0	2	0	0	0	2	2	2	5.094726e-01	1	4.640000e-01	7.253856e-01	1
1755	RANBP2	RAN binding protein 2	9787	0	0	0	1	0	0	0	1	1	1	7.256877e-01	NaN	NaN	7.256877e-01	1
1756	PCDHA7	protocadherin alpha 7	20893	54	0	1	1	0	0	0	1	1	1	7.309158e-01	NaN	NaN	7.309158e-01	1
1757	GEMIN5	gem (nuclear organelle) associated protein 5	4639	0	0	0	1	0	0	0	1	1	1	7.314475e-01	NaN	NaN	7.314475e-01	1
1758	PCLO	piccolo (presynaptic cytomatrix protein)	15540	4	0	0	5	0	0	0	5	4	5	7.823635e-01	1	2.990000e-01	7.316557e-01	1
1759	BAZ1A	bromodomain adjacent to zinc finger domain, 1A	4775	0	0	0	1	0	0	0	1	1	1	7.332098e-01	NaN	NaN	7.332098e-01	1
1760	TRRAP	transformation/transcription domain-associated protein	11773	2	0	0	2	0	0	0	2	2	2	3.658317e-01	1	3.240000e-01	7.337054e-01	1
1761	CCDC110	coiled-coil domain containing 110	2528	8	0	1	1	0	0	0	1	1	1	7.366939e-01	NaN	NaN	7.366939e-01	1
1762	IFT172	intraflagellar transport 172 homolog (Chlamydomonas)	5511	71	0	0	2	0	0	0	2	1	2	3.719935e-01	1	8.530000e-01	7.398500e-01	1
1763	RYR1	ryanodine receptor 1 (skeletal)	15537	1	0	0	4	0	0	0	4	2	4	8.119262e-01	1	4.190000e-01	7.405225e-01	1
1764	POLQ	polymerase (DNA directed), theta	7889	0	0	1	2	1	0	0	3	2	3	3.726983e-01	1	7.090000e-01	7.405463e-01	1
1765	ALS2CL	ALS2 C-terminal like	2962	23	0	0	2	0	0	0	2	1	2	3.757335e-01	1	9.800000e-01	7.435297e-01	1
1766	RNF213	ring finger protein 213	16205	6	0	1	1	0	0	0	1	1	1	7.530192e-01	NaN	NaN	7.530192e-01	1
1767	ACTL9	actin-like 9	1253	3	0	1	1	0	0	0	1	1	1	7.548701e-01	NaN	NaN	7.548701e-01	1
1768	NEB	nebulin	26407	71	0	2	3	0	0	0	3	3	3	4.019529e-01	1	7.730000e-01	7.683010e-01	1
1769	ZNF512	zinc finger protein 512	4260	20	0	0	1	0	0	0	1	1	1	7.726278e-01	NaN	NaN	7.726278e-01	1
1770	NAV3	neuron navigator 3	7244	10	0	0	1	0	0	0	1	1	1	7.737910e-01	NaN	NaN	7.737910e-01	1
1771	MFI2	antigen p97 (melanoma associated) identified by monoclonal antibodies 133.2 and 96.5	2478	32	0	0	2	0	0	0	2	1	2	4.191269e-01	1	6.230000e-01	7.835919e-01	1
1772	ITGB4	integrin, beta 4	5790	3	0	0	1	0	0	0	1	1	1	7.877198e-01	NaN	NaN	7.877198e-01	1
1773	AP3D1	adaptor-related protein complex 3, delta 1 subunit	3736	14	0	1	1	0	0	0	1	1	1	7.897171e-01	NaN	NaN	7.897171e-01	1
1774	FSIP2	fibrous sheath interacting protein 2	21081	1	0	0	1	0	0	0	1	1	1	8.088666e-01	NaN	NaN	8.088666e-01	1
1775	EP400	E1A binding protein p400	9577	5	0	1	1	0	0	0	1	1	1	8.152787e-01	NaN	NaN	8.152787e-01	1
1776	USH2A	Usher syndrome 2A (autosomal recessive, mild)	15901	2	0	1	1	1	0	0	2	2	2	4.684234e-01	1	7.840000e-01	8.236676e-01	1
1777	MAP1B	microtubule-associated protein 1B	7431	0	0	0	2	0	0	0	2	2	2	4.697073e-01	1	1.880000e-01	8.246395e-01	1
1778	MTOR	mechanistic target of rapamycin (serine/threonine kinase)	8871	0	0	0	2	0	0	0	2	2	2	4.700484e-01	1	2.260000e-01	8.248971e-01	1
1779	ABCA3	ATP-binding cassette, sub-family A (ABC1), member 3	5235	5	0	1	1	0	0	0	1	1	1	8.349336e-01	NaN	NaN	8.349336e-01	1
1780	ADAMTS7	ADAM metallopeptidase with thrombospondin type 1 motif, 7	5153	23	0	1	1	0	0	0	1	1	1	8.355251e-01	NaN	NaN	8.355251e-01	1
1781	TRIM14	tripartite motif-containing 14	1775	1	0	1	1	0	0	0	1	1	1	8.363430e-01	NaN	NaN	8.363430e-01	1
1782	HIVEP1	human immunodeficiency virus type I enhancer binding protein 1	8186	3	0	1	1	0	0	0	1	1	1	8.453917e-01	NaN	NaN	8.453917e-01	1
1783	ADAMTS20	ADAM metallopeptidase with thrombospondin type 1 motif, 20	5884	11	0	0	2	0	0	0	2	2	2	5.046751e-01	1	4.890000e-01	8.497923e-01	1
1784	DIDO1	death inducer-obliterator 1	6905	12	0	2	1	0	0	0	1	1	1	8.502142e-01	NaN	NaN	8.502142e-01	1
1785	SYNE2	spectrin repeat containing, nuclear envelope 2	21231	0	0	0	2	0	0	0	2	2	2	5.105432e-01	1	9.580000e-01	8.537712e-01	1
1786	DIS3L	DIS3 mitotic control homolog (S. cerevisiae)-like	3231	8	0	0	2	0	0	0	2	1	2	5.133700e-01	1	9.750000e-01	8.556638e-01	1
1787	ITGA1	integrin, alpha 1	4713	0	0	0	2	0	0	0	2	2	2	5.263819e-01	1	5.420000e-01	8.641760e-01	1
1788	RTTN	rotatin	6875	8	0	0	1	0	0	0	1	1	1	8.663684e-01	NaN	NaN	8.663684e-01	1
1789	LYST	lysosomal trafficking regulator	11610	0	0	0	2	0	0	0	2	1	2	1	1	3.690000e-01	8.776110e-01	1
1790	AHNAK2	AHNAK nucleoprotein 2	17412	1	0	0	2	0	0	0	2	1	2	7.964649e-01	1	5.610000e-01	8.837228e-01	1
1791	TMEM8A	transmembrane protein 8A	2364	1	0	1	1	0	0	0	1	1	1	8.908237e-01	NaN	NaN	8.908237e-01	1
1792	TNR	tenascin R (restrictin, janusin)	4161	4	0	0	2	0	0	0	2	1	2	5.968500e-01	1	6.450000e-01	9.048780e-01	1
1793	CPAMD8	C3 and PZP-like, alpha-2-macroglobulin domain containing 8	5965	5	0	1	1	0	0	0	1	1	1	9.065730e-01	NaN	NaN	9.065730e-01	1
1794	BIRC6	baculoviral IAP repeat-containing 6 (apollon)	14866	0	0	0	2	0	0	0	2	2	2	6.034565e-01	1	2.260000e-01	9.082511e-01	1
1795	NEFH	neurofilament, heavy polypeptide 200kDa	3077	3	0	0	1	0	0	0	1	1	1	9.090125e-01	NaN	NaN	9.090125e-01	1
1796	PPHLN1	periphilin 1	1634	1	0	1	1	0	0	0	1	1	1	9.118740e-01	NaN	NaN	9.118740e-01	1
1797	SCN3A	sodium channel, voltage-gated, type III, alpha subunit	6203	0	0	0	2	0	0	0	2	2	2	6.181248e-01	1	1.970000e-01	9.154829e-01	1
1798	LAMA3	laminin, alpha 3	10475	2	0	1	1	0	0	0	1	1	1	9.223368e-01	NaN	NaN	9.223368e-01	1
1799	IGSF10	immunoglobulin superfamily, member 10	7940	7	0	0	2	0	0	0	2	1	2	6.385500e-01	1	9.610000e-01	9.249750e-01	1
1800	UNC13C	unc-13 homolog C (C. elegans)	6765	57	0	1	2	0	0	0	2	2	2	6.924333e-01	1	6.940000e-01	9.469326e-01	1
1801	COL11A1	collagen, type XI, alpha 1	5842	6	0	0	1	0	0	0	1	1	1	9.478564e-01	NaN	NaN	9.478564e-01	1
1802	ZNF99	zinc finger protein 99	3137	34	0	2	2	0	0	0	2	1	2	7.308278e-01	1	9.100000e-01	9.599989e-01	1
1803	PCDHA10	protocadherin alpha 10	14067	7	0	0	1	0	0	0	1	1	1	9.633757e-01	NaN	NaN	9.633757e-01	1
1804	KCNB2	potassium voltage-gated channel, Shab-related subfamily, member 2	2744	4	0	0	2	0	0	0	2	1	2	7.600694e-01	1	5.200000e-01	9.685910e-01	1
1805	PCDHA4	protocadherin alpha 4	28145	19	0	0	1	0	0	0	1	1	1	9.863142e-01	NaN	NaN	9.863142e-01	1
1806	TNC	tenascin C (hexabrachion)	6710	21	0	1	2	0	0	0	2	1	2	8.439231e-01	1	4.140000e-01	9.871317e-01	1
1807	AHNAK	AHNAK nucleoprotein	17797	0	0	7	6	0	0	0	6	6	6	9.599727e-01	1	7.400000e-01	9.991880e-01	1
1808	PCDHA1	protocadherin alpha 1	35512	18	0	0	2	0	0	0	2	2	2	9.952680e-01	1	4.840000e-01	9.999888e-01	1
1809	FLNC	filamin C, gamma (actin binding protein 280)	8366	5	0	1	2	0	0	0	2	1	2	1	1	2.950000e-01	1	1
1810	MDN1	MDN1, midasin homolog (yeast)	17195	2	0	1	1	0	0	0	1	1	1	1	NaN	NaN	1	1
1811	MUC16	mucin 16, cell surface associated	43858	0	0	0	3	0	0	0	3	1	3	1	1	4.510000e-01	1	1
1812	PCDHA3	protocadherin alpha 3	30617	19	0	0	1	0	0	0	1	1	1	1	NaN	NaN	1	1
1813	PEG10	paternally expressed 10	2373	0	0	0	1	0	0	0	1	1	1	1	NaN	NaN	1	1
1814	PNN	pinin, desmosome associated protein	2188	1	0	0	2	0	0	0	2	1	2	1	1	8.010000e-01	1	1
1815	USP34	ubiquitin specific peptidase 34	10959	1	0	0	2	0	0	0	2	1	2	1	1	8.110000e-01	1	1
1816	A1BG	alpha-1-B glycoprotein	1520	325	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1817	A1CF	APOBEC1 complementation factor	1958	6	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1818	A2BP1	RNA binding protein, fox-1 homolog (C. elegans) 1	1439	419	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1819	A2M	alpha-2-macroglobulin	4565	4	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1820	A2ML1	alpha-2-macroglobulin-like 1	4506	19	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1821	A4GALT	alpha 1,4-galactosyltransferase (globotriaosylceramide synthase)	1066	1	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1822	AACS	acetoacetyl-CoA synthetase	2087	160	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1823	AADAC	arylacetamide deacetylase (esterase)	1218	35	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1824	AADACL3	arylacetamide deacetylase-like 3	1071	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1825	AADACL4	arylacetamide deacetylase-like 4	1236	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1826	AADAT	aminoadipate aminotransferase	1330	973	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1827	AAGAB	alpha- and gamma-adaptin binding protein	1002	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1828	AAK1	AP2 associated kinase 1	2966	17	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1829	AAMP	angio-associated, migratory cell protein	1627	82	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1830	AANAT	arylalkylamine N-acetyltransferase	771	48	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1831	AARS	alanyl-tRNA synthetase	2987	23	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1832	AARS2	alanyl-tRNA synthetase 2, mitochondrial (putative)	3044	60	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1833	AARSD1	alanyl-tRNA synthetase domain containing 1	1871	442	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1834	AASDH	aminoadipate-semialdehyde dehydrogenase	3353	61	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1835	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	950	246	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1836	AASS	aminoadipate-semialdehyde synthase	2873	0	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1837	AATF	apoptosis antagonizing transcription factor	1727	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1838	AATK	apoptosis-associated tyrosine kinase	4179	468	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1839	ABCA10	ATP-binding cassette, sub-family A (ABC1), member 10	4873	34	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1840	ABCA12	ATP-binding cassette, sub-family A (ABC1), member 12	8025	27	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1841	ABCA2	ATP-binding cassette, sub-family A (ABC1), member 2	7665	1	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1842	ABCA5	ATP-binding cassette, sub-family A (ABC1), member 5	5081	123	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1843	ABCA6	ATP-binding cassette, sub-family A (ABC1), member 6	5006	52	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1844	ABCA7	ATP-binding cassette, sub-family A (ABC1), member 7	6623	2	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1845	ABCA8	ATP-binding cassette, sub-family A (ABC1), member 8	4894	77	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1846	ABCA9	ATP-binding cassette, sub-family A (ABC1), member 9	5027	108	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1847	ABCB10	ATP-binding cassette, sub-family B (MDR/TAP), member 10	2267	110	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1848	ABCB11	ATP-binding cassette, sub-family B (MDR/TAP), member 11	4074	160	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1849	ABCB4	ATP-binding cassette, sub-family B (MDR/TAP), member 4	3971	18	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1850	ABCB5	ATP-binding cassette, sub-family B (MDR/TAP), member 5	3919	194	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1851	ABCB6	ATP-binding cassette, sub-family B (MDR/TAP), member 6	2777	29	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1852	ABCB7	ATP-binding cassette, sub-family B (MDR/TAP), member 7	2326	33	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1853	ABCB9	ATP-binding cassette, sub-family B (MDR/TAP), member 9	2352	336	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1854	ABCC1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	4716	71	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1855	ABCC10	ATP-binding cassette, sub-family C (CFTR/MRP), member 10	4471	37	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1856	ABCC12	ATP-binding cassette, sub-family C (CFTR/MRP), member 12	4192	152	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1857	ABCC4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	4145	103	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1858	ABCC5	ATP-binding cassette, sub-family C (CFTR/MRP), member 5	4472	8	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1859	ABCC6	ATP-binding cassette, sub-family C (CFTR/MRP), member 6	4713	1	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1860	ABCC8	ATP-binding cassette, sub-family C (CFTR/MRP), member 8	4898	15	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1861	ABCC9	ATP-binding cassette, sub-family C (CFTR/MRP), member 9	4940	31	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1862	ABCD1	ATP-binding cassette, sub-family D (ALD), member 1	2274	296	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1863	ABCD2	ATP-binding cassette, sub-family D (ALD), member 2	2259	6	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1864	ABCD3	ATP-binding cassette, sub-family D (ALD), member 3	2099	46	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1865	ABCD4	ATP-binding cassette, sub-family D (ALD), member 4	1893	505	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1866	ABCF1	ATP-binding cassette, sub-family F (GCN20), member 1	2636	67	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1867	ABCF2	ATP-binding cassette, sub-family F (GCN20), member 2	1967	237	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1868	ABCF3	ATP-binding cassette, sub-family F (GCN20), member 3	2347	111	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1869	ABCG1	ATP-binding cassette, sub-family G (WHITE), member 1	2263	34	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1870	ABCG2	ATP-binding cassette, sub-family G (WHITE), member 2	2028	122	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1871	ABCG4	ATP-binding cassette, sub-family G (WHITE), member 4	1997	26	0	2	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1872	ABCG5	ATP-binding cassette, sub-family G (WHITE), member 5 (sterolin 1)	2004	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1873	ABCG8	ATP-binding cassette, sub-family G (WHITE), member 8 (sterolin 2)	2257	776	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1874	ABHD1	abhydrolase domain containing 1	1254	130	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1875	ABHD10	abhydrolase domain containing 10	939	419	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1876	ABHD11	abhydrolase domain containing 11	1241	465	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1877	ABHD12	abhydrolase domain containing 12	1382	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1878	ABHD12B	abhydrolase domain containing 12B	920	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1879	ABHD13	abhydrolase domain containing 13	1018	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1880	ABHD14A	abhydrolase domain containing 14A	832	509	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1881	ABHD15	abhydrolase domain containing 15	1432	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1882	ABHD2	abhydrolase domain containing 2	1314	180	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1883	ABHD3	abhydrolase domain containing 3	1262	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1884	ABHD4	abhydrolase domain containing 4	1055	768	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1885	ABHD5	abhydrolase domain containing 5	1074	392	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1886	ABHD6	abhydrolase domain containing 6	1046	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1887	ABHD8	abhydrolase domain containing 8	1481	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1888	ABI1	abl-interactor 1	1626	177	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1889	ABI2	abl interactor 2	1464	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1890	ABI3	ABI gene family, member 3	1129	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1891	ABL1	c-abl oncogene 1, receptor tyrosine kinase	3573	26	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1892	ABL2	v-abl Abelson murine leukemia viral oncogene homolog 2 (arg, Abelson-related gene)	3752	101	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1893	ABLIM1	actin binding LIM protein 1	2577	181	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1894	ABLIM2	actin binding LIM protein family, member 2	2070	307	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1895	ABLIM3	actin binding LIM protein family, member 3	2144	121	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1896	ABO	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)	1090	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1897	ABP1	amiloride binding protein 1 (amine oxidase (copper-containing))	2274	5	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1898	ABR	active BCR-related gene	2807	226	0	1	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1899	ABT1	activator of basal transcription 1	829	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1900	ABTB1	ankyrin repeat and BTB (POZ) domain containing 1	1558	803	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1901	ABTB2	ankyrin repeat and BTB (POZ) domain containing 2	2584	536	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1902	ACAA1	acetyl-Coenzyme A acyltransferase 1 (peroxisomal 3-oxoacyl-Coenzyme A thiolase)	1609	20	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1903	ACAA2	acetyl-Coenzyme A acyltransferase 2	1230	167	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1904	ACACA	acetyl-Coenzyme A carboxylase alpha	8227	3	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1905	ACACB	acetyl-Coenzyme A carboxylase beta	7583	9	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1906	ACAD11	acyl-Coenzyme A dehydrogenase family, member 11	3471	236	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1907	ACAD8	acyl-Coenzyme A dehydrogenase family, member 8	1438	1000	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1908	ACAD9	acyl-Coenzyme A dehydrogenase family, member 9	1934	131	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1909	ACADL	acyl-Coenzyme A dehydrogenase, long chain	1333	70	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
1910	ACADM	acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain	1322	574	0	0	0	0	0	0	0	0	0	1	NaN	NaN	1	1
