name	cov_gidx	longname	chr	start	end	len	gc	AC-DFCI_AC_PD1-1-Tumor-SM-9LRI9	AC-P02-Tumor-SM-63B4K	AC-P04-Tumor-SM-63B4O	AC-P04-Tumor-SM-63B4Q	AC-P05-Tumor-SM-63B4R	AC-P06-Tumor-SM-63B4T	AC-P07-Tumor-SM-63B4V	AC-P08-Tumor-SM-63B4X	AC-P09-Tumor-SM-63B4Z	AC-P09-Tumor-SM-63B52	AC-P10-Tumor-SM-63B53	AC-P10-Tumor-SM-63B55	AC-P11-Tumor-SM-63B56	AC-P12-Tumor-SM-63B58	AC-P12-Tumor-SM-63B59	AC-P14-Tumor-SM-63B5C	AC-P15-Tumor-SM-63B5D	AC-P15-Tumor-SM-63B5F	
CAMK1	2602	calcium/calmodulin-dependent protein kinase I	3	9799033	9811661	1458	4.938300e-01	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
CAMK1D	2603	calcium/calmodulin-dependent protein kinase ID	10	12391583	12871731	1193	4.606600e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAMK1G	2604	calcium/calmodulin-dependent protein kinase IG	1	209757045	209787283	1431	4.540950e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAMK2A	2605	calcium/calmodulin-dependent protein kinase (CaM kinase) II alpha	5	149599054	149669403	1470	5.287200e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAMK2B	2606	calcium/calmodulin-dependent protein kinase (CaM kinase) II beta	7	44256749	44365230	2004	5.628100e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAMK2D	2607	calcium/calmodulin-dependent protein kinase (CaM kinase) II delta	4	114372190	114683083	1583	3.595600e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAMK2G	2608	calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma	10	75572259	75634343	1767	5.188200e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAMK2N1	2609	calcium/calmodulin-dependent protein kinase II inhibitor 1	1	20808885	20812728	237	4.861400e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAMK2N2	2610	calcium/calmodulin-dependent protein kinase II inhibitor 2	3	183977003	183979251	240	5.056750e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAMK4	2611	calcium/calmodulin-dependent protein kinase IV	5	110560082	110820746	1422	3.749900e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAMKK1	2612	calcium/calmodulin-dependent protein kinase kinase 1, alpha	17	3763625	3796337	1636	5.244200e-01	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAMKK2	2613	calcium/calmodulin-dependent protein kinase kinase 2, beta	12	121675496	121736111	1773	4.963000e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAMKV	2614	CaM kinase-like vesicle-associated	3	49895422	49907369	1506	5.271400e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAMLG	2615	calcium modulating ligand	5	134074206	134087841	891	4.295750e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAMP	2616	cathelicidin antimicrobial peptide	3	48264862	48266975	513	4.748600e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAMSAP1	2617	calmodulin regulated spectrin-associated protein 1	9	138700334	138799005	4809	5.169850e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAMSAP1L1	2618	calmodulin regulated spectrin-associated protein 1-like 1	1	200708686	200829829	4437	3.871800e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAMTA1	2619	calmodulin binding transcription activator 1	1	6845384	7829763	5022	4.743300e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAMTA2	2620	calmodulin binding transcription activator 2	17	4871287	4890960	3765	5.279050e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAND1	2621	cullin-associated and neddylation-dissociated 1	12	67663061	67708388	3693	3.798200e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAND2	2622	cullin-associated and neddylation-dissociated 2 (putative)	3	12838171	12876313	3711	4.954200e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CANT1	2623	calcium activated nucleotidase 1	17	76987799	77005899	1206	5.280000e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CANX	2624	calnexin	5	179125930	179158637	1779	5.033550e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAP1	2625	CAP, adenylate cyclase-associated protein 1 (yeast)	1	40506255	40538323	1428	4.244800e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAP2	2626	CAP, adenylate cyclase-associated protein, 2 (yeast)	6	17393736	17558021	1434	4.195250e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAPG	2627	capping protein (actin filament), gelsolin-like	2	85621871	85637676	1047	4.834850e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAPN1	2628	calpain 1, (mu/I) large subunit	11	64949343	64979476	2145	4.949100e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAPN10	2629	calpain 10	2	241526145	241557122	2166	5.348050e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAPN11	2630	calpain 11	6	44126548	44152139	2220	5.136600e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAPN12	2631	calpain 12	19	39220832	39235114	2160	5.249400e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAPN13	2632	calpain 13	2	30945640	31030311	2010	4.583700e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAPN2	2633	calpain 2, (m/II) large subunit	1	223889295	223963718	2106	4.765400e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAPN3	2634	calpain 3, (p94)	15	42640301	42704515	2514	4.424900e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAPN5	2635	calpain 5	11	76777992	76837196	2414	5.379000e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAPN6	2636	calpain 6	23	110488328	110513774	1926	3.981400e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAPN7	2637	calpain 7	3	15247733	15294422	2442	4.248600e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAPN9	2638	calpain 9	1	230883130	230937749	2073	4.572200e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAPNS1	2639	calpain, small subunit 1	19	36630918	36641254	807	4.925300e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAPNS2	2640	calpain, small subunit 2	16	55600584	55601592	747	4.085950e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAPRIN1	2641	cell cycle associated protein 1	11	34073230	34124157	2150	4.205900e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAPRIN2	2642	caprin family member 2	12	30862486	30907448	3384	3.908100e-01	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAPS	2643	calcyphosine	19	5914193	5916221	570	5.277000e-01	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAPS2	2644	calcyphosine 2	12	75669760	75723836	1674	3.502600e-01	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAPSL	2645	calcyphosine-like	5	35904398	35938881	627	4.093300e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAPZA1	2646	capping protein (actin filament) muscle Z-line, alpha 1	1	113162075	113214241	861	4.378500e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAPZA2	2647	capping protein (actin filament) muscle Z-line, alpha 2	7	116502563	116559312	861	3.984000e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAPZA3	2648	capping protein (actin filament) muscle Z-line, alpha 3	12	18891045	18892121	900	3.633450e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAPZB	2649	capping protein (actin filament) muscle Z-line, beta	1	19665267	19812066	819	4.925550e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CARD10	2650	caspase recruitment domain family, member 10	22	37886401	37915210	3099	5.416600e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CARD11	2651	caspase recruitment domain family, member 11	7	2945769	3083579	3465	4.954600e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CARD14	2652	caspase recruitment domain family, member 14	17	78152281	78182851	3180	5.257000e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CARD16	2653	caspase recruitment domain family, member 16	11	104912053	104916051	614	3.694750e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CARD17	2654	caspase recruitment domain family, member 17	11	104963196	104972158	333	3.694750e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CARD18	2655	caspase recruitment domain family, member 18	11	105008448	105010461	273	3.617900e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CARD6	2656	caspase recruitment domain family, member 6	5	40841410	40855454	3114	4.057900e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CARD8	2657	caspase recruitment domain family, member 8	19	48711344	48759203	1618	4.797050e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CARD9	2658	caspase recruitment domain family, member 9	9	139258408	139268133	1656	6.043250e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CARHSP1	2659	calcium regulated heat stable protein 1, 24kDa	16	8946802	8962863	444	4.809800e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CARKD	2660	carbohydrate kinase domain containing	13	111268008	111292340	1173	4.870400e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CARM1	2661	coactivator-associated arginine methyltransferase 1	19	10982253	11033447	1827	5.294900e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CARNS1	2662	carnosine synthase 1	11	67183149	67193076	2853	5.514750e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CARS	2663	cysteinyl-tRNA synthetase	11	3022160	3078671	2551	5.056500e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CARS2	2664	cysteinyl-tRNA synthetase 2, mitochondrial (putative)	13	111293757	111358480	1695	4.850300e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CARTPT	2665	CART prepropeptide	5	71014990	71016875	351	4.074950e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CASC1	2666	cancer susceptibility candidate 1	12	25261227	25348094	2346	3.806600e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CASC3	2667	cancer susceptibility candidate 3	17	38296507	38328432	2112	4.925400e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CASC4	2668	cancer susceptibility candidate 4	15	44580929	44707958	1311	4.144250e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CASC5	2669	cancer susceptibility candidate 5	15	40886447	40954881	7029	4.227300e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CASD1	2670	CAS1 domain containing 1	7	94139170	94186326	2394	3.618550e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CASK	2671	calcium/calmodulin-dependent serine protein kinase (MAGUK family)	23	41374191	41782287	4938	3.937300e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CASKIN1	2672	CASK interacting protein 1	16	2227184	2246465	4296	5.967700e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CASKIN2	2673	CASK interacting protein 2	17	73496343	73511627	3609	5.493700e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CASP1	2674	caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase)	11	104896246	104972158	2155	3.710800e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CASP10	2675	caspase 10, apoptosis-related cysteine peptidase	2	202047621	202094110	1720	4.385000e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CASP14	2676	caspase 14, apoptosis-related cysteine peptidase	19	15163015	15166900	729	4.711800e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CASP2	2677	caspase 2, apoptosis-related cysteine peptidase (neural precursor cell expressed, developmentally down-regulated 2)	7	142985402	143004784	1359	4.462300e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CASP3	2678	caspase 3, apoptosis-related cysteine peptidase	4	185548852	185570629	834	4.183250e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CASP4	2679	caspase 4, apoptosis-related cysteine peptidase	11	104813594	104839325	1134	3.714800e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CASP5	2680	caspase 5, apoptosis-related cysteine peptidase	11	104864967	104893895	1344	3.714800e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CASP6	2681	caspase 6, apoptosis-related cysteine peptidase	4	110609785	110624629	882	3.990000e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CASP7	2682	caspase 7, apoptosis-related cysteine peptidase	10	115438935	115490662	1085	4.290000e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CASP8	2683	caspase 8, apoptosis-related cysteine peptidase	2	202098166	202152434	1713	4.320600e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CASP8AP2	2684	CASP8 associated protein 2	6	90539619	90584154	5901	4.315950e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CASP9	2685	caspase 9, apoptosis-related cysteine peptidase	1	15818797	15850790	1251	4.754450e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CASQ1	2686	calsequestrin 1 (fast-twitch, skeletal muscle)	1	160160285	160171674	1191	4.739800e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CASQ2	2687	calsequestrin 2 (cardiac muscle)	1	116242628	116311426	1200	4.132800e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CASR	2688	calcium-sensing receptor (hypocalciuric hypercalcemia 1, severe neonatal hyperparathyroidism)	3	121902530	122005343	3267	4.105000e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CASS4	2689	Cas scaffolding protein family member 4	20	54987168	55034396	2361	4.410400e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAST	2690	calpastatin	5	95997941	96110383	2525	3.975950e-01	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CASZ1	2691	castor zinc finger 1	1	10696668	10856707	5284	5.528500e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
CAT	2692	catalase	11	34460472	34493606	1584	4.265000e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CATSPER1	2693	cation channel, sperm associated 1	11	65784224	65793988	2343	5.227400e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CATSPER2	2694	cation channel, sperm associated 2	15	43922774	43941039	1632	4.615900e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CATSPER3	2695	cation channel, sperm associated 3	5	134303596	134347397	1197	4.701050e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CATSPER4	2696	cation channel, sperm associated 4	1	26517119	26529032	1418	4.934550e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CATSPERB	2697	cation channel, sperm-associated, beta	14	92047118	92198413	3351	3.951200e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CATSPERG	2698	catsper channel auxiliary subunit gamma	19	38826443	38861588	3480	5.278400e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAV1	2699	caveolin 1, caveolae protein, 22kDa	7	116164839	116201238	537	3.994800e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAV2	2700	caveolin 2	7	116139444	116148594	527	3.885050e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CAV3	2701	caveolin 3	3	8775496	8788450	456	4.601650e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CBARA1	2702	calcium binding atopy-related autoantigen 1	10	74127098	74385899	1437	3.951100e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CBFA2T2	2703	core-binding factor, runt domain, alpha subunit 2; translocated to, 2	20	32077928	32237837	1849	4.417050e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CBFA2T3	2704	core-binding factor, runt domain, alpha subunit 2; translocated to, 3	16	88941267	89043401	1962	6.057400e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CBFB	2705	core-binding factor, beta subunit	16	67063050	67134956	595	4.279800e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CBL	2706	Cas-Br-M (murine) ecotropic retroviral transforming sequence	11	119076990	119178858	2721	4.396500e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CBLB	2707	Cas-Br-M (murine) ecotropic retroviral transforming sequence b	3	105377110	105587887	2949	3.555750e-01	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CBLC	2708	Cas-Br-M (murine) ecotropic retroviral transforming sequence c	19	45281126	45303902	1425	5.343600e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CBLL1	2709	Cas-Br-M (murine) ecotropic retroviral transforming sequence-like 1	7	107384279	107402082	1476	3.890500e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CBLN1	2710	cerebellin 1 precursor	16	49311831	49315742	582	4.388900e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CBLN2	2711	cerebellin 2 precursor	18	70203915	70211723	675	3.810050e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CBLN3	2712	cerebellin 3 precursor	14	24895742	24898731	618	4.890800e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CBLN4	2713	cerebellin 4 precursor	20	54572497	54580012	606	4.029050e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CBR1	2714	carbonyl reductase 1	21	37442285	37445462	834	4.539450e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CBR3	2715	carbonyl reductase 3	21	37507263	37518858	834	4.643250e-01	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CBR4	2716	carbonyl reductase 4	4	169908744	169931422	714	4.144900e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CBS	2717	cystathionine-beta-synthase	21	44473301	44496472	1656	4.869850e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CBWD1	2718	COBW domain containing 1	9	121039	179075	1234	4.006700e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CBWD2	2719	COBW domain containing 2	2	114195268	114253780	1188	3.846000e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CBWD3	2720	COBW domain containing 3	9	70432001	70914931	2376	3.862933e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CBWD5	2721	COBW domain containing 5	9	70432005	70490171	1188	3.713850e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CBWD6	2722	COBW domain containing 6	9	69204539	69262593	1188	3.779050e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CBX1	2723	chromobox homolog 1 (HP1 beta homolog Drosophila )	17	46147415	46178883	558	4.781150e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CBX2	2724	chromobox homolog 2 (Pc class homolog, Drosophila)	17	77751977	77761449	1947	5.540000e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CBX3	2725	chromobox homolog 3 (HP1 gamma homolog, Drosophila)	7	26241099	26252974	552	4.372250e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CBX4	2726	chromobox homolog 4 (Pc class homolog, Drosophila)	17	77806956	77813213	1683	5.455000e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CBX5	2727	chromobox homolog 5 (HP1 alpha homolog, Drosophila)	12	54624732	54673915	576	4.736950e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CBX6	2728	chromobox homolog 6	22	39260264	39268258	1239	4.992000e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CBX7	2729	chromobox homolog 7	22	39526790	39548538	756	5.127350e-01	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CBX8	2730	chromobox homolog 8 (Pc class homolog, Drosophila)	17	77768178	77770915	1170	5.540000e-01	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CBY1	2731	chibby homolog 1 (Drosophila)	22	39052658	39069853	381	4.737800e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CC2D1A	2732	coiled-coil and C2 domain containing 1A	19	14016956	14041693	2856	5.399050e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CC2D1B	2733	coiled-coil and C2 domain containing 1B	1	52816267	52831864	2577	4.218600e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CC2D2A	2734	coiled-coil and C2 domain containing 2A	4	15471489	15603180	5058	3.946000e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CC2D2B	2735	coiled-coil and C2 domain containing 2B	10	97759848	97792440	1206	3.855900e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CCAR1	2736	cell division cycle and apoptosis regulator 1	10	70480971	70551307	3453	4.203900e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CCBE1	2737	collagen and calcium binding EGF domains 1	18	57098172	57364644	1221	4.243800e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CCBL1	2738	cysteine conjugate-beta lyase, cytoplasmic	9	131595393	131644354	1269	5.094500e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CCBL2	2739	cysteine conjugate-beta lyase 2	1	89401456	89458643	2538	3.986400e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CCBP2	2740	chemokine binding protein 2	3	42850964	42908774	1155	4.433700e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CCDC101	2741	coiled-coil domain containing 101	16	28565249	28603110	882	4.929800e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CCDC102A	2742	coiled-coil domain containing 102A	16	57546092	57570477	1653	4.904050e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CCDC102B	2743	coiled-coil domain containing 102B	18	66382491	66722426	1542	3.466150e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CCDC103	2744	coiled-coil domain containing 103	17	42977154	42980627	729	4.954250e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CCDC104	2745	coiled-coil domain containing 104	2	55746740	55772216	1029	3.978350e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CCDC105	2746	coiled-coil domain containing 105	19	15121539	15134083	1500	4.711800e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CCDC106	2747	coiled-coil domain containing 106	19	56158954	56164524	843	5.310900e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CCDC107	2748	coiled-coil domain containing 107	9	35658311	35661183	851	4.944200e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CCDC108	2749	coiled-coil domain containing 108	2	219867576	219906245	5926	5.183000e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CCDC109A	2750	coiled-coil domain containing 109A	10	74451889	74647450	1056	3.884400e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CCDC109B	2751	coiled-coil domain containing 109B	4	110481355	110608868	1011	4.086750e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CCDC11	2752	coiled-coil domain containing 11	18	47753563	47792865	1545	4.378850e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CCDC110	2753	coiled-coil domain containing 110	4	186366339	186392913	2551	3.998200e-01	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CCDC111	2754	coiled-coil domain containing 111	4	185570767	185616112	1683	4.060400e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CCDC112	2755	coiled-coil domain containing 112	5	114602885	114632458	1590	3.815450e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CCDC113	2756	coiled-coil domain containing 113	16	58283840	58317732	1134	4.301000e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CCDC114	2757	coiled-coil domain containing 114	19	48799709	48823332	2013	4.921300e-01	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CCDC115	2758	coiled-coil domain containing 115	2	131095816	131099922	543	4.646350e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CCDC116	2759	coiled-coil domain containing 116	22	21987086	21991615	1842	5.242400e-01	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CCDC117	2760	coiled-coil domain containing 117	22	29168662	29185282	840	4.482250e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CCDC12	2761	coiled-coil domain containing 12	3	46963220	47018270	540	5.297300e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CCDC120	2762	coiled-coil domain containing 120	23	48916516	48927509	2008	5.070850e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CCDC121	2763	coiled-coil domain containing 121	2	27848506	27851898	1323	4.249600e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CCDC122	2764	coiled-coil domain containing 122	13	44410491	44453826	822	3.865050e-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
